frame,x_0,y_0,z_0,visibility_0,x_1,y_1,z_1,visibility_1,x_2,y_2,z_2,visibility_2,x_3,y_3,z_3,visibility_3,x_4,y_4,z_4,visibility_4,x_5,y_5,z_5,visibility_5,x_6,y_6,z_6,visibility_6,x_7,y_7,z_7,visibility_7,x_8,y_8,z_8,visibility_8,x_9,y_9,z_9,visibility_9,x_10,y_10,z_10,visibility_10,x_11,y_11,z_11,visibility_11,x_12,y_12,z_12,visibility_12,x_13,y_13,z_13,visibility_13,x_14,y_14,z_14,visibility_14,x_15,y_15,z_15,visibility_15,x_16,y_16,z_16,visibility_16,x_17,y_17,z_17,visibility_17,x_18,y_18,z_18,visibility_18,x_19,y_19,z_19,visibility_19,x_20,y_20,z_20,visibility_20,x_21,y_21,z_21,visibility_21,x_22,y_22,z_22,visibility_22,x_23,y_23,z_23,visibility_23,x_24,y_24,z_24,visibility_24,x_25,y_25,z_25,visibility_25,x_26,y_26,z_26,visibility_26,x_27,y_27,z_27,visibility_27,x_28,y_28,z_28,visibility_28,x_29,y_29,z_29,visibility_29,x_30,y_30,z_30,visibility_30,x_31,y_31,z_31,visibility_31,x_32,y_32,z_32,visibility_32
0,0.47957709431648254,0.17457246780395508,-0.07209683954715729,0.9995908141136169,0.4669284224510193,0.15468168258666992,-0.04814863204956055,0.999680757522583,0.464662104845047,0.154160276055336,-0.048122670501470566,0.9996558427810669,0.4624367654323578,0.15375733375549316,-0.048083625733852386,0.999677300453186,0.464694082736969,0.15491950511932373,-0.11683319509029388,0.9996324777603149,0.46120986342430115,0.1546403467655182,-0.11694750189781189,0.9996451139450073,0.4574646055698395,0.1544540971517563,-0.11704986542463303,0.9996768236160278,0.43524712324142456,0.1598116010427475,0.09493198245763779,0.9992615580558777,0.4303591251373291,0.1614091396331787,-0.2064557522535324,0.9997832179069519,0.4727368652820587,0.18912029266357422,-0.010650725103914738,0.99956876039505,0.47014927864074707,0.18812867999076843,-0.0979473665356636,0.9996156692504883,0.4070609211921692,0.249637171626091,0.32421162724494934,0.9988455772399902,0.4120883643627167,0.25299739837646484,-0.3551470935344696,0.9999114274978638,0.4572601318359375,0.3619420528411865,0.14813724160194397,0.09395357966423035,0.48509371280670166,0.3754848539829254,-0.2538149058818817,0.9693915843963623,0.5252354741096497,0.29691725969314575,-0.28147512674331665,0.22715748846530914,0.5430454015731812,0.28849804401397705,0.16618612408638,0.9152759909629822,0.5452948808670044,0.2731775641441345,-0.33476680517196655,0.2623835504055023,0.5532111525535583,0.2685638666152954,0.18377578258514404,0.8723659515380859,0.5310900807380676,0.26924586296081543,-0.32116544246673584,0.2624070942401886,0.5425011515617371,0.2629138231277466,0.1668427586555481,0.8606412410736084,0.5184654593467712,0.27642595767974854,-0.2951489984989166,0.2537573575973511,0.5357457399368286,0.26799988746643066,0.17557449638843536,0.8237330317497253,0.40907707810401917,0.4889492094516754,0.21529729664325714,0.9966291785240173,0.41616466641426086,0.49501359462738037,-0.21554052829742432,0.9977268576622009,0.41683682799339294,0.6592470407485962,0.38145309686660767,0.402327299118042,0.41771894693374634,0.6760614514350891,-0.16135212779045105,0.9458471536636353,0.3883560001850128,0.8178955316543579,0.5636724233627319,0.6124222874641418,0.385109007358551,0.8603928685188293,-0.1232912540435791,0.9377149939537048,0.36742034554481506,0.8413814902305603,0.5728694796562195,0.6174063086509705,0.36203041672706604,0.895027756690979,-0.12666605412960052,0.886880099773407,0.48338496685028076,0.8358895778656006,0.501314640045166,0.7610280513763428,0.49214473366737366,0.8842149972915649,-0.274637907743454,0.9317651391029358
1,0.48046964406967163,0.17454615235328674,-0.10701907426118851,0.9995466470718384,0.4672788381576538,0.15470482409000397,-0.08252605050802231,0.999653160572052,0.4649423658847809,0.15416081249713898,-0.0825100839138031,0.9996277689933777,0.46258869767189026,0.15373025834560394,-0.08246715366840363,0.9996486902236938,0.4650404751300812,0.1550101339817047,-0.15600621700286865,0.9995960593223572,0.46147918701171875,0.15472520887851715,-0.15610644221305847,0.9996092915534973,0.45762884616851807,0.15450942516326904,-0.1562207043170929,0.9996404051780701,0.43522515892982483,0.15946784615516663,0.0676402822136879,0.9992082715034485,0.43024325370788574,0.1613490879535675,-0.2558811902999878,0.999765157699585,0.4730410575866699,0.18879157304763794,-0.042252227663993835,0.9995478987693787,0.4703133702278137,0.18790489435195923,-0.13589231669902802,0.9995921850204468,0.4088289141654968,0.24963726103305817,0.31443995237350464,0.9988586902618408,0.41241031885147095,0.25302252173423767,-0.3996972441673279,0.9999092221260071,0.4593600630760193,0.36360666155815125,0.13430170714855194,0.09300854057073593,0.4858365058898926,0.375644326210022,-0.2953633666038513,0.9689595103263855,0.5292254090309143,0.2968463897705078,-0.3361702859401703,0.22620578110218048,0.5439767837524414,0.2880670726299286,0.11470212787389755,0.9163869023323059,0.5472878217697144,0.2725547254085541,-0.3938277065753937,0.26073893904685974,0.5539910793304443,0.26783379912376404,0.1238786056637764,0.8737735748291016,0.531603217124939,0.2678395211696625,-0.38359859585762024,0.26091670989990234,0.5419496893882751,0.2619078457355499,0.1104712039232254,0.8621426820755005,0.5201938152313232,0.2758224308490753,-0.3520750403404236,0.25231286883354187,0.5354334115982056,0.2669067680835724,0.12553437054157257,0.8245031237602234,0.40833961963653564,0.4880408048629761,0.21806949377059937,0.99656081199646,0.41610991954803467,0.49390909075737,-0.21834255754947662,0.997602641582489,0.4162682890892029,0.6591746807098389,0.4075212776660919,0.40973517298698425,0.41805022954940796,0.6745693683624268,-0.15318843722343445,0.9458699822425842,0.3882155120372772,0.8186697363853455,0.6196837425231934,0.6201919913291931,0.3856986165046692,0.8594674468040466,-0.07086730003356934,0.9389544725418091,0.36736950278282166,0.8418384790420532,0.6309214234352112,0.6230993270874023,0.36261826753616333,0.8911292552947998,-0.07038126140832901,0.8885189294815063,0.48162469267845154,0.8358088731765747,0.5422705411911011,0.7665491104125977,0.49201396107673645,0.8842716217041016,-0.23316504061222076,0.9333600997924805
2,0.48104679584503174,0.17452748119831085,-0.11569944769144058,0.9995067119598389,0.46753740310668945,0.15473182499408722,-0.09114356338977814,0.9996283054351807,0.46515142917633057,0.1541633903980255,-0.09112928807735443,0.9996024966239929,0.46270498633384705,0.15371449291706085,-0.09108632802963257,0.9996228814125061,0.4652973711490631,0.15509143471717834,-0.16503837704658508,0.9995630383491516,0.46168288588523865,0.15479987859725952,-0.16513703763484955,0.9995766878128052,0.4577581584453583,0.15455898642539978,-0.16525150835514069,0.9996071457862854,0.43519720435142517,0.159235879778862,0.05990981310606003,0.9991597533226013,0.4301499128341675,0.16130611300468445,-0.26549285650253296,0.9997485876083374,0.47324466705322266,0.18857820332050323,-0.05055217817425728,0.9995291829109192,0.47042036056518555,0.1877540796995163,-0.1447821706533432,0.9995709657669067,0.4097474217414856,0.24963651597499847,0.31006550788879395,0.9988712668418884,0.41271597146987915,0.2530503571033478,-0.4088680148124695,0.9999073147773743,0.4606054425239563,0.3644670844078064,0.1290201097726822,0.09222720563411713,0.4864015579223633,0.3757306933403015,-0.304195374250412,0.968509316444397,0.5313387513160706,0.2967895269393921,-0.34558799862861633,0.2255232036113739,0.5445050001144409,0.28775399923324585,0.10533732920885086,0.917296290397644,0.5485712885856628,0.27215129137039185,-0.4034656882286072,0.259418785572052,0.5544182062149048,0.2673347592353821,0.11399687081575394,0.8749322891235352,0.5320093631744385,0.26692578196525574,-0.3933729827404022,0.2597499489784241,0.5414878726005554,0.2611965239048004,0.10074163228273392,0.8633837699890137,0.5212726593017578,0.2753280997276306,-0.36161112785339355,0.2511829137802124,0.5351414680480957,0.2661547064781189,0.11622599512338638,0.8250596523284912,0.4077845513820648,0.4873736500740051,0.2198389321565628,0.996497631072998,0.4160553812980652,0.49313390254974365,-0.2201249897480011,0.9974948763847351,0.4158826172351837,0.6590737700462341,0.4166472554206848,0.41624993085861206,0.418291300535202,0.6734840273857117,-0.1511799544095993,0.9459800124168396,0.38817980885505676,0.8189656138420105,0.6332802176475525,0.6270377039909363,0.38619276881217957,0.8588019609451294,-0.06649044156074524,0.9401208162307739,0.36737769842147827,0.8419521450996399,0.6448549628257751,0.6279265284538269,0.36311763525009155,0.8891229629516602,-0.06613723188638687,0.8900362253189087,0.48075592517852783,0.8356696963310242,0.555393397808075,0.7715054750442505,0.49194765090942383,0.8842999339103699,-0.2299998253583908,0.9348504543304443
3,0.4825918972492218,0.17474468052387238,-0.12468942999839783,0.9994682669639587,0.4692244827747345,0.1552872359752655,-0.1005825474858284,0.9996047616004944,0.46667855978012085,0.15456144511699677,-0.1005687564611435,0.9995792508125305,0.4639647603034973,0.15394161641597748,-0.10052391141653061,0.9995982646942139,0.4669663608074188,0.15572309494018555,-0.1750650405883789,0.9995309710502625,0.4631722569465637,0.1553528904914856,-0.17515891790390015,0.9995450377464294,0.4591151475906372,0.15500159561634064,-0.17526613175868988,0.9995735287666321,0.43539315462112427,0.15921767055988312,0.049373477697372437,0.9991187453269958,0.4304409623146057,0.16132470965385437,-0.27903980016708374,0.9997320175170898,0.47429129481315613,0.188580721616745,-0.05988496169447899,0.9995107054710388,0.47135764360427856,0.18775574862957,-0.15496258437633514,0.9995512366294861,0.4103775918483734,0.24967047572135925,0.29966360330581665,0.9988853335380554,0.4128555953502655,0.2531748116016388,-0.4204365909099579,0.9999046921730042,0.4620358943939209,0.3649732768535614,0.12271083146333694,0.09161211550235748,0.4876047670841217,0.37586653232574463,-0.31523197889328003,0.9682506322860718,0.5330548286437988,0.29631587862968445,-0.35003337264060974,0.22568699717521667,0.5454776287078857,0.28695744276046753,0.09364364296197891,0.9185208678245544,0.5497190952301025,0.2712908983230591,-0.40724775195121765,0.2591760754585266,0.5552804470062256,0.2665146291255951,0.1017458438873291,0.8765243291854858,0.532870888710022,0.26647207140922546,-0.39894434809684753,0.25969138741493225,0.5414838194847107,0.2604610323905945,0.08925750851631165,0.8651205897331238,0.5227711200714111,0.27523311972618103,-0.3666805326938629,0.25116264820098877,0.5351465940475464,0.2654506266117096,0.104755699634552,0.8262364864349365,0.40594586730003357,0.4873490631580353,0.22033771872520447,0.996432363986969,0.4144039452075958,0.49307093024253845,-0.2206193208694458,0.9973772168159485,0.4154769480228424,0.6589176654815674,0.41398149728775024,0.4211852550506592,0.4184756875038147,0.6726167798042297,-0.1503889113664627,0.9458773732185364,0.3881220817565918,0.8192567229270935,0.6241828799247742,0.6324593424797058,0.3865804374217987,0.8583773374557495,-0.06547684967517853,0.9410995244979858,0.3673742115497589,0.8421490788459778,0.6350846886634827,0.6317399740219116,0.3634101152420044,0.8881224393844604,-0.06525324285030365,0.8915827870368958,0.480058491230011,0.835612416267395,0.5480114221572876,0.7757449746131897,0.4918539822101593,0.8844102025032043,-0.22773616015911102,0.9361757040023804
4,0.4833706021308899,0.17504139244556427,-0.12660399079322815,0.9994513988494873,0.4705052673816681,0.15587033331394196,-0.1024031937122345,0.9995962977409363,0.4679780602455139,0.15502695739269257,-0.1023838147521019,0.999570906162262,0.4651855230331421,0.15425287187099457,-0.10233846306800842,0.9995880126953125,0.46793121099472046,0.15632110834121704,-0.17657563090324402,0.9995191693305969,0.4639562964439392,0.15589681267738342,-0.17666417360305786,0.9995334148406982,0.45976534485816956,0.1554698497056961,-0.17675620317459106,0.9995598793029785,0.4356742799282074,0.15921658277511597,0.048121776431798935,0.9991098046302795,0.43053239583969116,0.16140605509281158,-0.2787337005138397,0.9997270703315735,0.47493019700050354,0.18863053619861603,-0.06167594715952873,0.9995090961456299,0.47163546085357666,0.1878131479024887,-0.15637004375457764,0.999547004699707,0.4113565981388092,0.249725341796875,0.2996937036514282,0.9989096522331238,0.4129456877708435,0.25316715240478516,-0.42118167877197266,0.9999040961265564,0.4652389585971832,0.36494919657707214,0.12406690418720245,0.09254766255617142,0.4913139343261719,0.3757333755493164,-0.31339532136917114,0.9683436751365662,0.5357909202575684,0.29576417803764343,-0.3449801206588745,0.22622179985046387,0.5469904541969299,0.28659525513648987,0.1003735363483429,0.9202063679695129,0.5514661073684692,0.2708002030849457,-0.40103277564048767,0.2583622336387634,0.5563398599624634,0.2661427855491638,0.10928504914045334,0.8786060810089111,0.533953845500946,0.26583555340766907,-0.39115360379219055,0.2589496076107025,0.5414800643920898,0.2602001130580902,0.09620014578104019,0.8673980236053467,0.5241538882255554,0.27472203969955444,-0.3607945144176483,0.2507305443286896,0.5351455807685852,0.26527681946754456,0.11128121614456177,0.8283276557922363,0.4043641686439514,0.48723453283309937,0.22095441818237305,0.996433675289154,0.41184407472610474,0.49297264218330383,-0.22124429047107697,0.9973316788673401,0.41476985812187195,0.6587890982627869,0.41647258400917053,0.4261157214641571,0.4184757173061371,0.6722221970558167,-0.15087266266345978,0.9457643628120422,0.3880748152732849,0.8192551732063293,0.6306578516960144,0.6375414133071899,0.3868422508239746,0.8577373027801514,-0.07039111107587814,0.9421017169952393,0.36737996339797974,0.8421044945716858,0.6422164440155029,0.6362090110778809,0.36378559470176697,0.8873836994171143,-0.07040014117956161,0.8935377597808838,0.4796833395957947,0.8352493643760681,0.5559805631637573,0.7794761657714844,0.49179670214653015,0.8843384981155396,-0.23193947970867157,0.9374664425849915
5,0.4851948916912079,0.17596104741096497,-0.1265224665403366,0.9994152784347534,0.4737497866153717,0.15739554166793823,-0.10219572484493256,0.99957674741745,0.4712475836277008,0.15644897520542145,-0.10217750072479248,0.9995518922805786,0.4682944416999817,0.15544773638248444,-0.10213831067085266,0.9995669722557068,0.4710142910480499,0.1577243208885193,-0.17682257294654846,0.9994921088218689,0.4668281376361847,0.15717314183712006,-0.17690908908843994,0.9995068311691284,0.46237310767173767,0.15656372904777527,-0.17699669301509857,0.9995303153991699,0.4369441866874695,0.1593451350927353,0.04840530455112457,0.9990845322608948,0.43193867802619934,0.16169826686382294,-0.2805832624435425,0.9997143149375916,0.47676995396614075,0.1891695111989975,-0.06159220263361931,0.9994955658912659,0.4733636975288391,0.188419371843338,-0.1568574607372284,0.9995298981666565,0.4122602343559265,0.24992482364177704,0.2994973659515381,0.9989270567893982,0.41323941946029663,0.2534714937210083,-0.42381447553634644,0.9999017715454102,0.46720579266548157,0.3648976981639862,0.12543389201164246,0.09287911653518677,0.4957292377948761,0.3758223354816437,-0.3152129054069519,0.9682229161262512,0.539101243019104,0.295121967792511,-0.3396090269088745,0.2249651998281479,0.5492332577705383,0.2864488661289215,0.10388615727424622,0.9213255047798157,0.5554481148719788,0.26973220705986023,-0.3951452672481537,0.25603795051574707,0.5583692193031311,0.26591527462005615,0.11297795921564102,0.8799139857292175,0.5367695689201355,0.26473867893218994,-0.3856852352619171,0.25672754645347595,0.5420237183570862,0.26001864671707153,0.10037008672952652,0.8688767552375793,0.5267101526260376,0.27303189039230347,-0.3555576503276825,0.2490285187959671,0.5357041358947754,0.2651149034500122,0.11499565839767456,0.8294482231140137,0.402139276266098,0.48709729313850403,0.22163163125514984,0.9964140057563782,0.4082837402820587,0.492957204580307,-0.22191151976585388,0.9972572326660156,0.41394543647766113,0.6587059497833252,0.41392287611961365,0.431538462638855,0.4178835451602936,0.6721400618553162,-0.15112653374671936,0.9456306099891663,0.38808462023735046,0.8193536996841431,0.6254757046699524,0.6427403092384338,0.3870936930179596,0.8577090501785278,-0.06969976425170898,0.9432169795036316,0.3674357235431671,0.8422101140022278,0.6367441415786743,0.6404634714126587,0.36414310336112976,0.8873873353004456,-0.06934197247028351,0.8956825137138367,0.47965720295906067,0.835225522518158,0.5503658056259155,0.782975971698761,0.4917355179786682,0.8844380378723145,-0.23116590082645416,0.9388021230697632
6,0.48661357164382935,0.1767539232969284,-0.12812750041484833,0.9993467330932617,0.4762016534805298,0.15865017473697662,-0.10347404330968857,0.9995406270027161,0.47379934787750244,0.15764008462429047,-0.10346637666225433,0.9995152950286865,0.4708482325077057,0.15649746358394623,-0.10343921184539795,0.9995286464691162,0.4732300639152527,0.15895353257656097,-0.17910832166671753,0.9994413256645203,0.4688887894153595,0.15836286544799805,-0.1791924238204956,0.9994572997093201,0.464245080947876,0.1576944887638092,-0.17927615344524384,0.9994772672653198,0.4383310377597809,0.15953660011291504,0.048686038702726364,0.9990289807319641,0.43319472670555115,0.16223566234111786,-0.2845514118671417,0.9996894598007202,0.47840678691864014,0.18976755440235138,-0.06259490549564362,0.9994636178016663,0.4748932719230652,0.18912182748317719,-0.15912489593029022,0.9994911551475525,0.41257113218307495,0.25006765127182007,0.3008952736854553,0.9989352226257324,0.41358134150505066,0.254262238740921,-0.42970138788223267,0.9998963475227356,0.474193811416626,0.36451461911201477,0.12594124674797058,0.09308724850416183,0.5012564659118652,0.37599268555641174,-0.31840404868125916,0.9674505591392517,0.5433017611503601,0.2927694022655487,-0.3419560194015503,0.22199557721614838,0.5517234802246094,0.28548315167427063,0.10673675686120987,0.9215471148490906,0.5599265098571777,0.2680532932281494,-0.3975673317909241,0.25180602073669434,0.5607404112815857,0.26515907049179077,0.11565358191728592,0.8800713419914246,0.5400394201278687,0.26296985149383545,-0.3874679505825043,0.2525917887687683,0.5430983304977417,0.25928062200546265,0.10270687192678452,0.8691579699516296,0.5294898152351379,0.2705910801887512,-0.35791000723838806,0.24561536312103271,0.5367133617401123,0.264250248670578,0.11771295219659805,0.8291086554527283,0.3984512984752655,0.4868914484977722,0.2234426736831665,0.9963809251785278,0.4033009707927704,0.49294787645339966,-0.22370710968971252,0.9971494674682617,0.4136868119239807,0.6587024927139282,0.41327860951423645,0.43229779601097107,0.41710686683654785,0.6720969676971436,-0.16452836990356445,0.9446426033973694,0.388411283493042,0.8217625617980957,0.6231953501701355,0.6442501544952393,0.3871236741542816,0.8582460880279541,-0.08086644113063812,0.9439463019371033,0.3675278127193451,0.8452653288841248,0.6348128318786621,0.6406792998313904,0.36411452293395996,0.8874667882919312,-0.08060894906520844,0.8970769643783569,0.48032453656196594,0.8368747234344482,0.5406659245491028,0.784447431564331,0.4915724992752075,0.8863537907600403,-0.24863234162330627,0.9398156404495239
7,0.48757290840148926,0.1773878037929535,-0.1279279738664627,0.9992988705635071,0.47779422998428345,0.15959371626377106,-0.10364003479480743,0.9995149374008179,0.47544530034065247,0.15857097506523132,-0.10363318771123886,0.999489426612854,0.4725058674812317,0.1573668271303177,-0.10360663384199142,0.9995014071464539,0.4747861325740814,0.159830704331398,-0.17865599691867828,0.9994048476219177,0.4704243838787079,0.15920120477676392,-0.1787412464618683,0.9994221329689026,0.465715616941452,0.15848346054553986,-0.1788257658481598,0.9994398951530457,0.4394892454147339,0.15975411236286163,0.04688408225774765,0.9989914894104004,0.43435797095298767,0.16262799501419067,-0.2835314869880676,0.9996715784072876,0.4794573485851288,0.19027142226696014,-0.06304669380187988,0.9994410872459412,0.47592902183532715,0.1896710991859436,-0.15881101787090302,0.9994622468948364,0.4127542972564697,0.2501399517059326,0.300123393535614,0.9989438652992249,0.41376039385795593,0.25453418493270874,-0.4281608760356903,0.9998930096626282,0.4768417179584503,0.36433157324790955,0.12584085762500763,0.09343715012073517,0.502950131893158,0.3760516047477722,-0.31514501571655273,0.9669323563575745,0.5454590320587158,0.2918376326560974,-0.3387870192527771,0.21985137462615967,0.553004801273346,0.28512075543403625,0.11031368374824524,0.9219635725021362,0.5619934797286987,0.2674022614955902,-0.3935616910457611,0.24848672747612,0.562049388885498,0.2648937702178955,0.12018647789955139,0.8804792165756226,0.5419325828552246,0.2622494399547577,-0.3831276595592499,0.24929669499397278,0.5437700748443604,0.25902119278907776,0.10668819397687912,0.8696519136428833,0.5312691926956177,0.2695556581020355,-0.354387104511261,0.24289995431900024,0.5373354554176331,0.2639237642288208,0.12108944356441498,0.8292362689971924,0.39585188031196594,0.4866505265235901,0.22355009615421295,0.9963697791099548,0.4004020094871521,0.49292635917663574,-0.22380918264389038,0.99708491563797,0.41333460807800293,0.6585584878921509,0.4023089110851288,0.43093961477279663,0.4167146682739258,0.6716570258140564,-0.1667545586824417,0.943792462348938,0.3885401785373688,0.8223375082015991,0.594504714012146,0.6441442966461182,0.38715648651123047,0.858660876750946,-0.08768085390329361,0.9445326924324036,0.3675616681575775,0.8461290001869202,0.6036725044250488,0.6399880051612854,0.36411425471305847,0.8877488374710083,-0.08795500546693802,0.8982976078987122,0.4810166656970978,0.8370625972747803,0.5129213333129883,0.7849850654602051,0.4916224181652069,0.8863610625267029,-0.25343942642211914,0.9407023787498474
8,0.4883900284767151,0.1784542351961136,-0.1179274246096611,0.9992634057998657,0.4787518084049225,0.16088609397411346,-0.09293103218078613,0.9994992017745972,0.47645244002342224,0.15983711183071136,-0.092938631772995,0.9994730949401855,0.4735738933086395,0.15858927369117737,-0.09293429553508759,0.999485433101654,0.4757033884525299,0.16112779080867767,-0.16903890669345856,0.999380886554718,0.47136080265045166,0.16045600175857544,-0.16911530494689941,0.9993984699249268,0.46668148040771484,0.159694641828537,-0.1691851019859314,0.9994158148765564,0.44064241647720337,0.1604124903678894,0.05733633041381836,0.9989702701568604,0.43554243445396423,0.16349968314170837,-0.27956169843673706,0.9996595978736877,0.48056161403656006,0.1912318915128708,-0.0534348264336586,0.999423086643219,0.476992666721344,0.19075371325016022,-0.15075114369392395,0.9994356036186218,0.41305461525917053,0.2503141462802887,0.3127424120903015,0.9989525675773621,0.4142969250679016,0.2547142207622528,-0.42374202609062195,0.9998898506164551,0.48020491003990173,0.3641817271709442,0.13677774369716644,0.09430186450481415,0.5051058530807495,0.37605351209640503,-0.312418133020401,0.9663920402526855,0.5476495027542114,0.2912900447845459,-0.32067108154296875,0.2174852192401886,0.5545518398284912,0.2849327623844147,0.1280885636806488,0.9220158457756042,0.5632601380348206,0.2668708264827728,-0.37161657214164734,0.24470201134681702,0.5629462003707886,0.2645663917064667,0.13964062929153442,0.8803883194923401,0.5434768795967102,0.2614276707172394,-0.3585156798362732,0.245508074760437,0.5443322658538818,0.2586469352245331,0.12744827568531036,0.8696478009223938,0.5330978631973267,0.2685146629810333,-0.33490487933158875,0.23975501954555511,0.5379179120063782,0.2634889781475067,0.13955050706863403,0.8288803100585938,0.39338937401771545,0.48631250858306885,0.22414475679397583,0.9963986873626709,0.3965403139591217,0.4927729368209839,-0.22438625991344452,0.9970666170120239,0.4132305085659027,0.6578911542892456,0.38689562678337097,0.42758694291114807,0.41626447439193726,0.6700640320777893,-0.18068456649780273,0.942647397518158,0.3888087272644043,0.8224844336509705,0.5640319585800171,0.6430193781852722,0.3871482312679291,0.8588017225265503,-0.12249825149774551,0.9450297951698303,0.3678993284702301,0.8466292023658752,0.5716904997825623,0.6381005644798279,0.36409324407577515,0.8881911635398865,-0.12486143410205841,0.8993081450462341,0.4823068678379059,0.8382534980773926,0.4822089672088623,0.7847241163253784,0.49157777428627014,0.8863494992256165,-0.28606435656547546,0.9415236711502075
9,0.4896567165851593,0.1799629032611847,-0.11708582192659378,0.999237060546875,0.48044976592063904,0.16266965866088867,-0.09178665280342102,0.999488890171051,0.478129118680954,0.16158896684646606,-0.0918068140745163,0.9994630813598633,0.47522225975990295,0.16029545664787292,-0.0918181762099266,0.999474048614502,0.4776389002799988,0.16286508738994598,-0.16856470704078674,0.9993641972541809,0.47348645329475403,0.16209714114665985,-0.16863654553890228,0.9993837475776672,0.4689253270626068,0.16122514009475708,-0.16868318617343903,0.9993987083435059,0.4423238933086395,0.16158698499202728,0.058127522468566895,0.9989616274833679,0.4383496344089508,0.16470065712928772,-0.2756560444831848,0.9996523261070251,0.4819127321243286,0.19241996109485626,-0.05287253484129906,0.9994098544120789,0.47855496406555176,0.19205011427402496,-0.14994138479232788,0.99941486120224,0.4130474627017975,0.25101369619369507,0.3143823742866516,0.9989556670188904,0.4156598150730133,0.2553805112838745,-0.4198997914791107,0.9998865127563477,0.4834015369415283,0.3638692796230316,0.1415402740240097,0.0961945503950119,0.5078484416007996,0.3761192560195923,-0.3099895417690277,0.9659436941146851,0.5499861240386963,0.28979185223579407,-0.30678078532218933,0.21545252203941345,0.5562518239021301,0.28453925251960754,0.14094886183738708,0.9220669269561768,0.56387859582901,0.26560118794441223,-0.3552347719669342,0.2410319745540619,0.5638530254364014,0.26379460096359253,0.15470851957798004,0.8803704380989075,0.5447030067443848,0.25930941104888916,-0.33962786197662354,0.24177977442741394,0.5448549389839172,0.25773701071739197,0.14110885560512543,0.8697990775108337,0.5350005030632019,0.2663642466068268,-0.3195853531360626,0.23680943250656128,0.5383697748184204,0.2626117765903473,0.15199273824691772,0.8289058804512024,0.39069682359695435,0.48574894666671753,0.2244681864976883,0.996429443359375,0.3926129937171936,0.4924972355365753,-0.22469313442707062,0.9970825910568237,0.4133321940898895,0.6563496589660645,0.38607290387153625,0.42399418354034424,0.41624101996421814,0.6684669256210327,-0.19385477900505066,0.9420393705368042,0.3896172046661377,0.8215600252151489,0.5679550170898438,0.6406320333480835,0.3871549665927887,0.8588058948516846,-0.15834714472293854,0.9456756711006165,0.36910927295684814,0.8464195132255554,0.5764339566230774,0.6346449255943298,0.3641583025455475,0.8882437348365784,-0.16308839619159698,0.9004347920417786,0.48442092537879944,0.8381439447402954,0.49149203300476074,0.7836272120475769,0.4915739595890045,0.8861653804779053,-0.3227829933166504,0.9423906803131104
